ID,Unit,Shelf,Pos (L to R),Title,Author / Editor,Publisher / Series,Language,Type,Photo #,Photo file(s),Left neighbor,Right neighbor,Status,Confidence,Notes,Genre,Year,YearParsed,Description,Shelf description,sort_title
A-A1-01,A,A1,1,(hidden) thin dark spine behind the framed photo,,,,?,41,1000050041.jpg,(shelf start),Art = (The Metropolitan Museum of Art),Unreadable,Low,Move the frame to read it.,Unidentified,,,,Top shelf of the light-wood unit by the window. A framed photo leans at the left end.,
A-A1-02,A,A1,2,Art = (The Metropolitan Museum of Art),The Metropolitan Museum of Art,Phaidon,EN,Art,41,1000050041.jpg,(hidden) thin dark spine behind the framed photo,Introduction to Algorithms,OK,High,"Purple slipcase, tallest book on the shelf.",Art & visual culture,2020,2020,"A keyword-organized survey of about 800 works from the museum, arranged by concept rather than period.",Top shelf of the light-wood unit by the window. A framed photo leans at the left end.,
A-A1-03,A,A1,3,Introduction to Algorithms,"Cormen, Leiserson, Rivest & Stein",MIT Press,EN,Textbook,41,1000050041.jpg,Art = (The Metropolitan Museum of Art),Structure and Interpretation of Computer Programs,OK,High,,"Math, CS & engineering",2009 (3rd ed.),2009,,Top shelf of the light-wood unit by the window. A framed photo leans at the left end.,
A-A1-04,A,A1,4,Structure and Interpretation of Computer Programs,Abelson & Sussman,MIT Press,EN,Textbook,41,1000050041.jpg,Introduction to Algorithms,"Compilers: Principles, Techniques, and Tools",OK,High,,"Math, CS & engineering",1996 (2nd ed.),1996,,Top shelf of the light-wood unit by the window. A framed photo leans at the left end.,
A-A1-05,A,A1,5,"Compilers: Principles, Techniques, and Tools","Aho, Lam, Sethi & Ullman",Pearson,EN,Textbook,41,1000050041.jpg,Structure and Interpretation of Computer Programs,Speech and Language Processing,OK,High,The dragon book.,"Math, CS & engineering",2006 (2nd ed.),2006,,Top shelf of the light-wood unit by the window. A framed photo leans at the left end.,
A-A1-06,A,A1,6,Speech and Language Processing,Jurafsky & Martin,Pearson,EN,Textbook,41,1000050041.jpg,"Compilers: Principles, Techniques, and Tools","Gödel, Escher, Bach",OK,High,,"Math, CS & engineering",2009 (2nd ed.),2009,,Top shelf of the light-wood unit by the window. A framed photo leans at the left end.,
A-A1-07,A,A1,7,"Gödel, Escher, Bach",Douglas R. Hofstadter,Basic Books,EN,Nonfiction,41,1000050041.jpg,Speech and Language Processing,A Dictionary of Basic Japanese Grammar,OK,High,,"Math, CS & engineering",1979,1979,,Top shelf of the light-wood unit by the window. A framed photo leans at the left end.,
A-A1-08,A,A1,8,A Dictionary of Basic Japanese Grammar,Makino & Tsutsui,The Japan Times,EN/JA,Reference,41,1000050041.jpg,"Gödel, Escher, Bach","(blank) tall black book, no visible spine text",OK,High,,Language study & reference,1986,1986,,Top shelf of the light-wood unit by the window. A framed photo leans at the left end.,
A-A1-09,A,A1,9,"(blank) tall black book, no visible spine text",,,,?,41,1000050041.jpg,A Dictionary of Basic Japanese Grammar,Understanding Comics,Unreadable,Low,Could be a binder.,Unidentified,,,,Top shelf of the light-wood unit by the window. A framed photo leans at the left end.,
A-A1-10,A,A1,10,Understanding Comics,Scott McCloud,HarperPerennial,EN,Comics,41,1000050041.jpg,"(blank) tall black book, no visible spine text",(not a book) framed photo and honor cords at the right end,OK,High,,Manga & comics,1993,1993,,Top shelf of the light-wood unit by the window. A framed photo leans at the left end.,
A-A1-11,A,A1,11,(not a book) framed photo and honor cords at the right end,,,,Other,41,1000050041.jpg,Understanding Comics,(shelf end),Not a book,High,,Games & other objects,,,,Top shelf of the light-wood unit by the window. A framed photo leans at the left end.,
A-A2-01,A,A2,1,Critique of Pure Reason,Immanuel Kant,Cambridge,EN,Philosophy,42,1000050042.jpg,(shelf start),Kritik der reinen Vernunft,OK,High,,Philosophy & political theory,1781,1781,,"Second shelf of the same unit, below A1.",
A-A2-02,A,A2,2,Kritik der reinen Vernunft,Immanuel Kant,Suhrkamp,DE,Philosophy,42,1000050042.jpg,Critique of Pure Reason,Sein und Zeit,OK,High,,Philosophy & political theory,1781,1781,,"Second shelf of the same unit, below A1.",
A-A2-03,A,A2,3,Sein und Zeit,Martin Heidegger,Niemeyer,DE,Philosophy,42,1000050042.jpg,Kritik der reinen Vernunft,Also sprach Zarathustra,OK,High,,Philosophy & political theory,1927,1927,,"Second shelf of the same unit, below A1.",
A-A2-04,A,A2,4,Also sprach Zarathustra,Friedrich Nietzsche,Reclam,DE,Philosophy,42,1000050042.jpg,Sein und Zeit,Ethics,OK,High,,Philosophy & political theory,1883,1883,,"Second shelf of the same unit, below A1.",
A-A2-05,A,A2,5,Ethics,Baruch Spinoza,Penguin Classics,EN,Philosophy,42,1000050042.jpg,Also sprach Zarathustra,Meditations,OK,High,,Philosophy & political theory,1677,1677,,"Second shelf of the same unit, below A1.",
A-A2-06,A,A2,5,Meditations,Marcus Aurelius,Penguin Classics,EN,Philosophy,42,1000050042.jpg,Ethics,Consolation of Philosophy,OK,High,,Philosophy & political theory,"c. 170 AD, Penguin ed.",,,"Second shelf of the same unit, below A1.",
A-A2-07,A,A2,7,Consolation of Philosophy,Boethius,Penguin Classics,EN,Philosophy,42,1000050042.jpg,Meditations,Duineser Elegien,OK,High,,Philosophy & political theory,"c. 524, Penguin ed.",,,"Second shelf of the same unit, below A1.",
A-A2-08,A,A2,8,Duineser Elegien,Rainer Maria Rilke,Insel,DE,Poetry,42,1000050042.jpg,Consolation of Philosophy,Gedichte,OK,Medium,"Thin spine, title read from the cover.",Literature (English & European),1923,1923,,"Second shelf of the same unit, below A1.",
A-A2-09,A,A2,9,Gedichte,Friedrich Hölderlin,Reclam,DE,Poetry,42,1000050042.jpg,Duineser Elegien,(shelf end),OK,High,,Literature (English & European),reprint,,,"Second shelf of the same unit, below A1.",
B-B1-01,B,B1,1,Pride and Prejudice,Jane Austen,Penguin Classics,EN,Fiction,43,1000050043.jpg,(shelf start),Moby-Dick,OK,High,Library label PR4034.,Literature (English & European),1813,1813,,"Dark cherry bookcase, upper shelf. Several library call-number labels.",
B-B1-02,B,B1,2,Moby-Dick,Herman Melville,Norton Critical,EN,Fiction,43,1000050043.jpg,Pride and Prejudice,Mrs Dalloway,OK,High,,Literature (English & European),1851,1851,,"Dark cherry bookcase, upper shelf. Several library call-number labels.",
B-B1-03,B,B1,3,Mrs Dalloway,Virginia Woolf,Harcourt,EN,Fiction,43,1000050043.jpg,Moby-Dick,Beloved,OK,High,,Literature (English & European),1925,1925,,"Dark cherry bookcase, upper shelf. Several library call-number labels.",
B-B1-04,B,B1,4,Beloved,Toni Morrison,Vintage,EN,Fiction,43,1000050043.jpg,Mrs Dalloway,Invisible Cities,OK,High,,Literature (English & European),1987,1987,,"Dark cherry bookcase, upper shelf. Several library call-number labels.",
B-B1-05,B,B1,5,Invisible Cities,Italo Calvino,Harvest,EN,Fiction,43,1000050043.jpg,Beloved,The Rising Sun,OK,High,,Literature (English & European),1972,1972,,"Dark cherry bookcase, upper shelf. Several library call-number labels.",
B-B1-06,B,B1,6,The Rising Sun,John Toland,Modern Library,EN,History,43,1000050043.jpg,Invisible Cities,Sapiens: A Brief History of Humankind,OK,High,Call number D767.,History & biography,1970,1970,,"Dark cherry bookcase, upper shelf. Several library call-number labels.",
B-B1-07,B,B1,7,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Harper,EN,History,43,1000050043.jpg,The Rising Sun,Số đỏ,OK,High,,History & biography,2011,2011,,"Dark cherry bookcase, upper shelf. Several library call-number labels.",
B-B1-08,B,B1,8,Số đỏ,Vũ Trọng Phụng,Nhà xuất bản Văn học,VI,Fiction,43,1000050043.jpg,Sapiens: A Brief History of Humankind,Truyện Kiều,OK,High,,Literature (English & European),1936,1936,,"Dark cherry bookcase, upper shelf. Several library call-number labels.",
B-B1-09,B,B1,9,Truyện Kiều,Nguyễn Du,Nhà xuất bản Văn học,VI,Poetry,43,1000050043.jpg,Số đỏ,"(partial) thin dark book with a red ribbon, label N34",OK,High,,Literature (English & European),early 19th c.,,,"Dark cherry bookcase, upper shelf. Several library call-number labels.",
B-B1-10,B,B1,10,"(partial) thin dark book with a red ribbon, label N34",,,?,?,43,1000050043.jpg,Truyện Kiều,(shelf end),Partial,Low,Between Kiều and the end of the shelf.,Unidentified,,,,"Dark cherry bookcase, upper shelf. Several library call-number labels.",
K-AtoD-01,K,A to D,1,1984,George Orwell,Signet,EN,Fiction,44,1000050044.jpg,(shelf start),A History of Japan,OK,High,,Literature (English & European),1949,1949,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
K-AtoD-02,K,A to D,2,A History of Japan,R. H. P. Mason & J. G. Caiger,Tuttle,EN,History,44,1000050044.jpg,1984,Anna Karenina,OK,High,,History & biography,1997,1997,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
K-AtoD-03,K,A to D,3,Anna Karenina,Leo Tolstoy,Penguin Classics,EN,Fiction,44,1000050044.jpg,A History of Japan,Beloved,OK,High,,Literature (English & European),1878,1878,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
K-AtoD-04,K,A to D,4,Beloved,Toni Morrison,Vintage,EN,Fiction,44,1000050044.jpg,Anna Karenina,Beowulf: A New Verse Translation,OK,High,"Second copy, see B1.",Literature (English & European),1987,1987,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
K-AtoD-05,K,A to D,5,Beowulf: A New Verse Translation,Seamus Heaney,Norton,EN,Poetry,44,1000050044.jpg,Beloved,Bird by Bird,OK,High,,Literature (English & European),2000,2000,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
K-AtoD-06,K,A to D,6,Bird by Bird,Anne Lamott,Anchor,EN,Writing craft,44,1000050044.jpg,Beowulf: A New Verse Translation,Moby-Dick,OK,High,,"Writing, film & literary craft",1994,1994,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
K-AtoD-07,K,A to D,7,Moby-Dick,Herman Melville,Penguin Classics,EN,Fiction,44,1000050044.jpg,Bird by Bird,Call Me by Your Name,OK,High,Planted error for the sample: filed under A to D.,Literature (English & European),1851,1851,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
